event-id,visible,timestamp,location-long,location-lat,behavioural-classification,comments,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
58566520,true,2001-05-10 02:00:00.000,-73.86904943155876,42.70366018273674,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566519,true,2001-05-10 02:12:00.000,-73.8686011234265,42.703785612978315,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566518,true,2001-05-10 02:15:00.000,-73.8686784843857,42.703835456688694,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566517,true,2001-05-10 02:20:00.000,-73.86886558234336,42.70365836711286,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566516,true,2001-05-10 02:25:00.000,-73.86872448264734,42.703460745478125,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566515,true,2001-05-10 02:29:00.000,-73.86866843500162,42.703313043363934,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566514,true,2001-05-10 02:35:00.000,-73.86881374162948,42.703285661300754,"Hunt","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566513,true,2001-05-10 02:42:00.000,-73.86876383111098,42.70323032535173,"Cat - Cat Interaction","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566512,true,2001-05-10 02:47:00.000,-73.86889558983735,42.70308159647425,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566511,true,2001-05-10 02:55:00.000,-73.86915802464847,42.702850407422055,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566510,true,2001-05-10 02:59:00.000,-73.86893925992396,42.703050238640735,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566509,true,2001-05-10 03:05:00.000,-73.86881568048251,42.7031788762249,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566508,true,2001-05-10 03:07:00.000,-73.8689586661585,42.70327259388968,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566507,true,2001-05-10 22:26:00.000,-73.8689809849414,42.7036170012613,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566506,true,2001-05-10 22:33:00.000,-73.86892518775768,42.70361014643742,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566505,true,2001-05-10 22:37:00.000,-73.86886134120718,42.70364986013575,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566504,true,2001-05-10 22:40:00.000,-73.86897768057962,42.70359724677095,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566503,true,2001-05-10 22:43:00.000,-73.86905784512287,42.70366080614368,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566502,true,2001-05-10 22:45:00.000,-73.86905282994698,42.703533510108606,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566501,true,2001-05-10 22:51:00.000,-73.8690238600831,42.70366308211554,"Cat - Human Interaction","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566500,true,2001-05-10 22:54:00.000,-73.86915026514305,42.703587334003565,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566499,true,2001-05-14 19:26:00.000,-73.8689821505671,42.70359314842312,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566498,true,2001-05-14 19:28:00.000,-73.86904428518373,42.70365445850587,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566497,true,2001-05-14 19:33:00.000,-73.86919074215153,42.703597369457405,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566496,true,2001-05-14 19:35:00.000,-73.86937824989485,42.70346485988387,"Hunt","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566495,true,2001-05-14 19:45:00.000,-73.86916026833313,42.70357437492235,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566494,true,2001-05-14 19:47:00.000,-73.86914230565174,42.70367604880168,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566493,true,2001-05-14 19:52:00.000,-73.86894755728564,42.70371636108529,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566492,true,2001-05-14 19:59:00.000,-73.86906752799347,42.703665494520585,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566491,true,2001-05-14 20:00:00.000,-73.8690137431465,42.70371593404827,"Hunt","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566490,true,2001-05-14 20:01:00.000,-73.86912075107384,42.703726716562684,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566489,true,2001-05-14 20:12:00.000,-73.86923428083713,42.703788534015416,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566488,true,2001-05-14 20:17:00.000,-73.8694122333482,42.70385963253004,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566487,true,2001-05-14 20:19:00.000,-73.86930600827307,42.70396043510123,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566486,true,2001-05-14 20:32:00.000,-73.86904988994242,42.70366856229889,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566485,true,2001-05-14 21:02:00.000,-73.86885315492637,42.70365689356164,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566484,true,2001-05-14 21:20:00.000,-73.86904034810429,42.70354176188837,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566483,true,2001-05-25 19:58:00.000,-73.86897144644345,42.70359763547671,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566482,true,2001-05-25 20:24:00.000,-73.86906234269796,42.703527390308224,"Cat - Human Interaction","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566481,true,2001-05-25 20:25:00.000,-73.86906186614182,42.70367471418878,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566480,true,2001-05-25 20:45:00.000,-73.86900559612323,42.703613191867454,"Cat - Human Interaction","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566479,true,2001-06-04 20:09:00.000,-73.86897636336283,42.703602546957576,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566478,true,2001-06-04 20:13:00.000,-73.8691880982825,42.70358158387691,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566477,true,2001-06-04 20:15:00.000,-73.8691471233128,42.703592255959485,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566476,true,2001-06-14 18:20:00.000,-73.86950715863682,42.70404509050069,"General","Hunt","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566475,true,2001-06-14 19:30:00.000,-73.86896919837262,42.70360040495446,"Play","Prey eaten","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566474,true,2001-06-14 19:42:00.000,-73.86934093414482,42.703960149525294,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566473,true,2001-06-14 19:50:00.000,-73.868974531593,42.70358911079997,"Hunt","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566472,true,2001-06-14 20:10:00.000,-73.8694273133957,42.70391678566759,"General","General","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566471,true,2001-06-19 21:07:00.000,-73.86946655400394,42.70392095529929,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566470,true,2001-06-19 21:14:00.000,-73.86952720354873,42.70388247046666,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566469,true,2001-06-19 21:46:00.000,-73.86939551860617,42.703973295965085,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566468,true,2001-06-19 22:04:00.000,-73.86945150711398,42.70399654230269,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566467,true,2001-06-19 22:24:00.000,-73.86951438388786,42.704023728933684,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566466,true,2001-06-19 22:26:00.000,-73.86956762530063,42.704016689906496,"General","Hunt","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566465,true,2001-06-20 01:29:00.000,-73.86901155780713,42.70362108545093,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566464,true,2001-06-21 16:45:00.000,-73.86939853325545,42.70390137246406,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566463,true,2001-06-21 16:55:00.000,-73.86915741934149,42.70360352433597,"General","Inside House","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566462,true,2001-06-26 03:48:00.000,-73.86905273205682,42.70366669922709,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566461,true,2001-06-26 04:46:00.000,-73.86886130218821,42.7035242342141,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566460,true,2001-06-26 04:48:00.000,-73.86812767375218,42.703238268627125,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566459,true,2001-06-26 04:56:00.000,-73.86832448732369,42.70307748568257,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566458,true,2001-06-26 04:59:00.000,-73.86851484184051,42.702909254140884,"General","General","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566457,true,2001-06-29 19:29:00.000,-73.8693052068028,42.70341929181669,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566456,true,2001-06-29 19:30:00.000,-73.86939459334442,42.703445659581654,"General","General","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566455,true,2001-07-02 23:39:00.000,-73.86903808598376,42.70366637449108,"Cat - Cat Interaction","Interaction  with Mookie","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566454,true,2001-07-02 23:50:00.000,-73.86902252948958,42.70371620092244,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566453,true,2001-07-02 23:51:00.000,-73.8690928549381,42.703776961483406,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566452,true,2001-07-02 23:55:00.000,-73.86898952660114,42.70362401978272,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566451,true,2001-07-02 23:57:00.000,-73.86881926656167,42.70377489000493,"Cat - Human Interaction","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566450,true,2001-07-12 20:20:00.000,-73.86916240754098,42.70359105606203,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566449,true,2001-07-27 13:37:00.000,-73.86904545186164,42.70352965497715,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566448,true,2001-07-27 13:56:00.000,-73.86896918581185,42.703594371202506,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566447,true,2001-07-27 14:26:00.000,-73.8689593099775,42.70370792200687,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566446,true,2001-07-27 14:29:00.000,-73.86915399025276,42.70375207982048,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566445,true,2001-07-27 14:33:00.000,-73.86921454340718,42.70378617784261,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566444,true,2001-07-27 14:37:00.000,-73.86889740308841,42.703963604716876,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566443,true,2001-07-27 14:39:00.000,-73.86863174729548,42.70402221756901,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
58566442,true,2001-07-27 14:50:00.000,-73.8684301633963,42.70392116649627,"General","","radio-transmitter","Felis catus","#3616741","Billy","Cats in the Albany Pine Bush"
