event-id,visible,timestamp,location-long,location-lat,eobs:battery-voltage,eobs:fix-battery-voltage,eobs:horizontal-accuracy-estimate,eobs:key-bin-checksum,eobs:speed-accuracy-estimate,eobs:start-timestamp,eobs:status,eobs:temperature,eobs:type-of-fix,eobs:used-time-to-get-fix,ground-speed,heading,height-above-ellipsoid,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
29753390,true,2010-01-19 00:00:00.000,,,3691,3476,,3688747429,,2010-01-19 00:00:00.000,"D",23,0,100,,,,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753391,true,2010-01-19 00:10:00.000,,,3684,3476,,2544117046,,2010-01-19 00:10:00.000,"D",23,0,100,,,,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753392,true,2010-01-19 00:20:00.000,,,3684,3476,,1730380353,,2010-01-19 00:20:00.000,"D",23,0,100,,,,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753393,true,2010-01-19 00:30:00.000,,,3681,3476,,933552211,,2010-01-19 00:30:00.000,"D",23,0,100,,,,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753394,true,2010-01-19 00:40:00.000,,,3684,3476,,155270771,,2010-01-19 00:40:00.000,"D",23,0,100,,,,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753395,true,2010-01-19 00:50:00.000,,,3684,3476,,3602225783,,2010-01-19 00:50:00.000,"D",23,0,100,,,,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753396,true,2010-01-19 01:00:00.000,,,3684,3476,,2789013389,,2010-01-19 01:00:00.000,"D",23,0,100,,,,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753776,true,2010-01-19 01:10:00.000,,,3681,3476,,1641892613,,2010-01-19 01:10:00.000,"D",21,0,100,,,,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753397,true,2010-01-19 01:20:56.000,-79.723454,9.1401132,3681,3476,5.38,3945776130,3.78,2010-01-19 01:19:53.000,"A",18,3,63,0.52,17.04,95.1,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753398,true,2010-01-19 01:30:14.999,-79.7234295,9.1401323,3673,3481,5.63,228112934,4.24,2010-01-19 01:29:59.000,"A",17,3,15,0.02,359.14,89.3,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753399,true,2010-01-19 01:40:14.999,-79.723372,9.140117,3676,3496,5.89,953763671,4.19,2010-01-19 01:40:00.000,"A",16,3,14,0.72,353.24,104.9,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753400,true,2010-01-19 01:50:15.999,-79.724003,9.1399098,3676,3492,11.78,1599497125,7.15,2010-01-19 01:50:00.000,"A",16,3,15,0.56,353.89,104.1,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753401,true,2010-01-19 02:00:21.001,-79.7244114,9.1397604,3676,3486,6.4,2429253201,5.08,2010-01-19 02:00:01.000,"A",16,3,20,1.25,48.5,99.5,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753402,true,2010-01-19 02:10:16.000,-79.7247579,9.1394919,3676,3491,7.17,3740093300,4.38,2010-01-19 02:10:00.000,"A",17,3,16,0.35,345.37,80.5,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753403,true,2010-01-19 02:20:49.000,-79.7247442,9.1395366,3679,3486,6.91,397635054,3.91,2010-01-19 02:20:00.000,"A",17,3,49,0.35,293.6,111.9,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753404,true,2010-01-19 02:30:16.998,-79.7247738,9.1395464,3681,3500,3.84,1778964535,3.59,2010-01-19 02:29:59.000,"A",18,3,17,0.22,15.07,107.3,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753405,true,2010-01-19 02:40:50.001,-79.7247063,9.1394856,3686,3496,20.74,1947883225,23.42,2010-01-19 02:40:01.000,"A",17,3,49,0.3,110.1,123.5,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753406,true,2010-01-19 02:50:31.999,-79.7247217,9.1393722,3684,3496,16.9,2765818945,4.89,2010-01-19 02:49:59.000,"A",17,3,32,0.3,344.72,99.1,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753407,true,2010-01-19 03:00:16.998,-79.7248238,9.1395166,3686,3505,14.34,3998282976,5.24,2010-01-19 03:00:00.000,"A",17,3,16,0.32,14.42,86.2,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753408,true,2010-01-19 03:10:18.000,-79.72469,9.1395013,3686,3497,6.14,610165359,4.16,2010-01-19 03:10:01.000,"A",17,3,17,0.13,20.32,100.9,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
29753409,true,2010-01-19 03:20:16.999,-79.7245562,9.1393969,3686,3491,12.29,3243538972,5.89,2010-01-19 03:19:59.000,"A",17,3,17,0.88,340.79,121.0,"gps","Potos flavus","1162","Bono","Kinkajous on Pipeline Road Panama (data from Powell et al. in prep)"
